2019-05-29 08:19:31 INFO  TestBase:113 - loading config.properties
2019-05-29 08:19:36 INFO  TestBase:88 - Chrome Launched !!!
2019-05-29 08:19:40 INFO  TestBase:57 - Lauched URL is --- https://www.amazon.in/
2019-05-29 08:19:41 INFO  ProductSearchTest:21 - com.amazon.testcases.ProductSearchTest started
2019-05-29 08:19:41 INFO  WaitHelper:64 - element found...Try Prime
2019-05-29 08:19:41 INFO  HomePage:101 - Searching product Name.... aqua j3 mobile phone
2019-05-29 08:19:41 INFO  WaitHelper:64 - element found...
2019-05-29 08:19:45 INFO  HomePage:110 - Verifying Product List.... 
2019-05-29 08:19:46 INFO  HomePage:129 - Clicking on First Product.... 
2019-05-29 08:19:47 INFO  HomePage:154 - Adding to Cart.... 
2019-05-29 08:19:54 INFO  WaitHelper:64 - element found...Cart
2019-05-29 08:19:56 INFO  HomePage:167 - Updating Product count to 10.... 
2019-05-29 08:20:12 INFO  HomePage:198 - Searching product Name.... redmi note 6a mobile phone
2019-05-29 08:20:12 INFO  WaitHelper:64 - element found...
2019-05-29 08:20:15 INFO  HomePage:224 - Clicking on Second Product.... 
2019-05-29 08:20:22 INFO  HomePage:250 - Adding Second Product to Cart .... 
2019-05-29 08:20:29 INFO  WaitHelper:64 - element found...Cart
2019-05-29 08:20:31 INFO  HomePage:264 - Deleting Second Product.... 
